name,1NN-ED,OPF-ED,1NN-DTW,OPF-DTW,OPF-ED-fast-time-mean,OPF-ED-fast-time-std,OPF-ED-fast-time-it0,OPF-ED-fast-time-it1,OPF-ED-fast-time-it2,OPF-ED-fast-time-it3,OPF-ED-fast-time-it4,OPF-ED-fast-time-it5,OPF-ED-fast-time-it6,OPF-ED-fast-time-it7,OPF-ED-fast-time-it8,OPF-ED-fast-time-it9
CricketY,0.4333,0.4435897435897435,0.2333333333333333,0.2487179487179487,0.06267068386077881,0.06267068386077881,0.05964303016662598,0.061903953552246094,0.06313562393188477,0.05959367752075195,0.06286168098449707,0.06376433372497559,0.06375908851623535,0.06386828422546387,0.06434369087219238,0.06383347511291504
CricketZ,0.4128,0.4230769230769231,0.2307692307692307,0.2384615384615384,0.06277375221252442,0.06277375221252442,0.05968880653381348,0.06276154518127441,0.06252598762512207,0.05904030799865723,0.06326603889465332,0.0638573169708252,0.06293892860412598,0.0634772777557373,0.06496429443359375,0.0652170181274414
Crop,0.2883,0.2766071428571429,0.2978571428571429,0.3027380952380952,6.043487572669983,6.043487572669983,6.057334661483765,6.182130813598633,5.97149395942688,5.940623998641968,6.090918302536011,6.100986480712891,5.94661283493042,6.042369604110718,6.030393600463867,6.072011470794678
DiatomSizeReduction,0.0654,0.065359477124183,0.0359477124183006,0.0359477124183006,0.001440143585205078,0.001440143585205078,0.0015196800231933594,0.0014188289642333984,0.0014209747314453125,0.00139617919921875,0.0013985633850097656,0.0016474723815917969,0.0014905929565429688,0.0014185905456542969,0.00133514404296875,0.0013554096221923828
DistalPhalanxOutlineAgeGroup,0.3741,0.3741007194244604,0.2302158273381295,0.2230215827338129,0.00973496437072754,0.00973496437072754,0.010059356689453125,0.010293245315551758,0.009592771530151367,0.010178089141845703,0.009510993957519531,0.009546518325805664,0.009979248046875,0.009396791458129883,0.009494543075561523,0.009298086166381836
DistalPhalanxOutlineCorrect,0.2826,0.2898550724637681,0.2826086956521739,0.2826086956521739,0.024889516830444335,0.024889516830444335,0.02440929412841797,0.02328801155090332,0.025693178176879883,0.024952411651611328,0.02369999885559082,0.026340723037719727,0.025453805923461914,0.025491952896118164,0.02501678466796875,0.024549007415771484
DistalPhalanxTW,0.3669,0.381294964028777,0.4100719424460431,0.4100719424460431,0.010058283805847168,0.010058283805847168,0.00936746597290039,0.009430885314941406,0.009308815002441406,0.009831428527832031,0.01015472412109375,0.010405302047729492,0.010451555252075195,0.010087013244628906,0.010698795318603516,0.010846853256225586
DodgerLoopDay,0.45,0.4125,0.5125,0.5125,0.0031486272811889647,0.0031486272811889647,0.0027246475219726562,0.0029234886169433594,0.0029239654541015625,0.0029549598693847656,0.0033152103424072266,0.003038167953491211,0.0034275054931640625,0.0034220218658447266,0.003387451171875,0.003368854522705078
DodgerLoopGame,0.1159,0.1521739130434782,0.0942028985507246,0.1014492753623188,0.0007961034774780273,0.0007961034774780273,0.0008265972137451172,0.0007619857788085938,0.0007255077362060547,0.0007226467132568359,0.0007195472717285156,0.0007190704345703125,0.0008473396301269531,0.0009236335754394531,0.0008976459503173828,0.0008170604705810547
DodgerLoopWeekend,0.0145,0.0144927536231884,0.0289855072463768,0.0289855072463768,0.0007172346115112305,0.0007172346115112305,0.0007486343383789062,0.0006518363952636719,0.0006258487701416016,0.0006220340728759766,0.0006184577941894531,0.0007536411285400391,0.0008494853973388672,0.0007278919219970703,0.0008392333984375,0.0007352828979492188
Earthquakes,0.2878,0.3093525179856115,0.316546762589928,0.3237410071942446,0.049375295639038086,0.049375295639038086,0.04397177696228027,0.049102067947387695,0.04926156997680664,0.04828596115112305,0.04933762550354004,0.050264596939086914,0.05021333694458008,0.050887107849121094,0.0522770881652832,0.050151824951171875
ECG200,0.12,0.11,0.17,0.17,0.001196002960205078,0.001196002960205078,0.001177072525024414,0.0012195110321044922,0.0011420249938964844,0.0011386871337890625,0.0011358261108398438,0.0011339187622070312,0.0011494159698486328,0.0011320114135742188,0.0011911392211914062,0.0015404224395751953
ECG5000,0.0751,0.0795555555555555,0.0751111111111111,0.0793333333333333,0.19743306636810304,0.19743306636810304,0.20601892471313477,0.2014310359954834,0.19446706771850586,0.1957836151123047,0.19629669189453125,0.1970381736755371,0.1973249912261963,0.19570040702819824,0.19681811332702637,0.1934516429901123
ECGFiveDays,0.2033,0.2032520325203252,0.2078977932636469,0.2078977932636469,0.0020409822463989258,0.0020409822463989258,0.0021507740020751953,0.002042531967163086,0.0020074844360351562,0.002077341079711914,0.0020492076873779297,0.002034425735473633,0.002015829086303711,0.002019643783569336,0.002013683319091797,0.0019989013671875
